id,label
n01,Adam
n02,Ancilla
n03,Anima Infelix
n04,Daemones
n05,Diabolus
n06,Eva
n07,Expositor
n08,Ihesus
n09,Iohannes
n10,Lasterbalk
n11,Lucifer
n12,Mercator
n13,Nuntius
n14,Petrus
n15,Pilatus
n16,Prima Anima
n17,Prima Maria
n18,Primus Angelus
n19,Primus Judaeus
n20,Primus Miles
n21,Pusterbalk
n22,Quarta Anima
n23,Quartus Judaeus
n24,Quartus Miles
n25,Quinta Anima
n26,Rubin
n27,Sathanas
n28,Secunda Anima
n29,Secunda Maria
n30,Secundus Angelus
n31,Secundus Judaeus
n32,Secundus Miles
n33,Septima Anima
n34,Servus
n35,Sexta Anima
n36,Tertia Anima
n37,Tertia Maria
n38,Tertius Angelus
n39,Tertius Judaeus
n40,Tertius Miles
n41,Thomas
n42,Uxor Mercatori
n43,Sepulcrum
n44,Templum Judaeum
n45,Infernum
n46,Taberna
n47,Palatium Pilati
n48,Hortus
n49,Scena
n50,Palatium Luciferi
n51,Spectantes
n52,Angeli i Caelo
